"Direction","Year","Date","Weekday","Country","Commodity","Transport_Mode","Measure","Value","Cumulative"
"Reimports","2018","20/10/2018","Saturday","All","All","All","$","0","157000000"
"Reimports","2018","21/10/2018","Sunday","All","All","All","$","0","157000000"
"Reimports","2018","22/10/2018","Monday","All","All","All","$","0","157000000"
"Reimports","2018","23/10/2018","Tuesday","All","All","All","$","0","157000000"
"Reimports","2018","25/10/2018","Thursday","All","All","All","$","0","159000000"
"Reimports","2018","26/10/2018","Friday","All","All","All","$","0","159000000"
"Reimports","2018","27/10/2018","Saturday","All","All","All","$","0","159000000"
"Reimports","2018","28/10/2018","Sunday","All","All","All","$","0","160000000"
"Reimports","2018","01/11/2018","Thursday","All","All","All","$","0","164000000"
"Reimports","2018","03/11/2018","Saturday","All","All","All","$","0","165000000"
"Reimports","2018","04/11/2018","Sunday","All","All","All","$","0","165000000"
"Reimports","2018","07/11/2018","Wednesday","All","All","All","$","0","166000000"
"Reimports","2018","09/11/2018","Friday","All","All","All","$","0","168000000"
"Reimports","2018","10/11/2018","Saturday","All","All","All","$","0","168000000"
"Reimports","2018","11/11/2018","Sunday","All","All","All","$","0","168000000"
"Reimports","2018","13/11/2018","Tuesday","All","All","All","$","0","169000000"
"Reimports","2018","17/11/2018","Saturday","All","All","All","$","0","172000000"
"Reimports","2018","18/11/2018","Sunday","All","All","All","$","0","172000000"
"Reimports","2018","20/11/2018","Tuesday","All","All","All","$","0","173000000"
"Reimports","2018","21/11/2018","Wednesday","All","All","All","$","0","173000000"
"Reimports","2018","24/11/2018","Saturday","All","All","All","$","0","175000000"
"Reimports","2018","25/11/2018","Sunday","All","All","All","$","0","175000000"
"Reimports","2018","29/11/2018","Thursday","All","All","All","$","0","180000000"
"Reimports","2018","30/11/2018","Friday","All","All","All","$","0","180000000"
"Reimports","2018","01/12/2018","Saturday","All","All","All","$","0","180000000"
"Reimports","2018","02/12/2018","Sunday","All","All","All","$","0","180000000"
"Reimports","2018","07/12/2018","Friday","All","All","All","$","0","185000000"
"Reimports","2018","09/12/2018","Sunday","All","All","All","$","0","187000000"
"Reimports","2018","11/12/2018","Tuesday","All","All","All","$","0","188000000"
"Reimports","2018","12/12/2018","Wednesday","All","All","All","$","0","188000000"
"Reimports","2018","14/12/2018","Friday","All","All","All","$","0","190000000"
"Reimports","2018","16/12/2018","Sunday","All","All","All","$","0","191000000"
"Reimports","2018","17/12/2018","Monday","All","All","All","$","0","191000000"
"Reimports","2018","21/12/2018","Friday","All","All","All","$","0","195000000"
"Reimports","2018","22/12/2018","Saturday","All","All","All","$","0","195000000"
